ticker,cik,accession,verdict,exhibits_checked,best_exhibit,best_size,best_operators,best_has_qa
OKLO,0001849056,0001104659-25-027276,no_transcript,5,0001104659-25-027276.txt,5009391,0,True
SMR,0001822966,0001822966-26-000052,no_transcript,5,0001822966-26-000052.txt,2019400,0,True
NNE,0001923891,0001641172-25-013857,no_transcript,6,0001641172-25-013857.txt,446062,0,False
LEU,0001065059,0001628280-26-030674,no_transcript,5,0001628280-26-030674.txt,446082,0,False
CCJ,0001009001,,no_filing,0,,0,0,False
GEV,0001996810,0001996810-26-000063,no_transcript,5,0001996810-26-000063.txt,1895606,0,True
VRT,0001674101,0001628280-26-027297,no_transcript,5,0001628280-26-027297.txt,260630,0,False
ETN,0001551182,0001551182-26-000010,no_transcript,5,0001551182-26-000010.txt,510020,0,False
PWR,0001050915,0001193125-26-193918,no_transcript,5,0001193125-26-193918.txt,430979,0,False
STRL,0000874238,0000874238-26-000078,no_transcript,4,0000874238-26-000078.txt,2164654,0,True
MIR,0001809987,0001628280-26-027943,no_transcript,5,0001628280-26-027943.txt,406668,0,False
IONQ,0001824920,0001193125-26-208923,no_transcript,5,0001193125-26-208923.txt,707331,0,False
RGTI,0001838359,0001104659-26-064861,no_transcript,5,0001104659-26-064861.txt,267850,0,False
QBTS,0001907982,0001907982-26-000057,no_transcript,6,0001907982-26-000057.txt,7444403,0,True
QUBT,0001758009,0001213900-26-058515,no_transcript,5,0001213900-26-058515.txt,13232039,0,True
HON,0000773840,0000773840-26-000055,no_transcript,5,0000773840-26-000055.txt,773657,0,False
RKLB,0001819994,0001819994-26-000027,no_transcript,5,0001819994-26-000027.txt,407376,0,False
ASTS,0001780312,0001193125-26-216946,no_transcript,6,0001193125-26-216946.txt,10196527,0,True
LUNR,0001844452,0001628280-26-034807,no_transcript,6,0001628280-26-034807.txt,428445,0,False
PL,0001836833,0001193125-26-115951,no_transcript,5,0001193125-26-115951.txt,1327413,0,False
RDW,0001819810,0001819810-26-000060,no_transcript,5,0001819810-26-000060.txt,1073166,0,True
BKSY,0001753539,0001753539-26-000057,no_transcript,5,0001753539-26-000057.txt,422431,0,False
SATS,0001415404,0001415404-25-000049,no_transcript,5,0001415404-25-000049.txt,296557,0,False
